0	-31.46503	-64.21297
0	-31.45604	-64.21297
0	-31.44705	-64.21192
0	-31.43806	-64.21297
0	-31.42908	-64.20981
0	-31.42009	-64.21297
0	-31.41110	-64.20771
0	-31.40211	-64.21297
0	-31.39312	-64.20665
0	-31.38414	-64.21297
0	-31.38414	-64.19190
0	-31.38414	-64.18137
0	-31.38414	-64.17083
0	-31.38414	-64.16030
1	-31.46503	-64.21297
1	-31.46503	-64.20244
1	-31.46503	-64.19190
1	-31.46503	-64.18137
1	-31.46503	-64.17083
1	-31.46503	-64.16030
1	-31.46413	-64.16030
1	-31.46323	-64.17083
1	-31.46233	-64.18137
1	-31.46323	-64.19190
1	-31.46413	-64.20244
1	-31.46503	-64.21297
2	-31.46503	-64.21297
2	-31.45604	-64.20244
2	-31.45604	-64.19190
2	-31.45604	-64.18137
2	-31.45604	-64.17083
2	-31.45604	-64.16030
2	-31.45604	-64.16030
2	-31.42908	-64.17083
2	-31.42908	-64.18137
2	-31.42009	-64.19190
2	-31.42908	-64.20244
2	-31.43806	-64.21297
